#E (m, CH1903);642012.14
#N (m, CH1903);155359.54
#Z (m, CH1903);3401.33
#azimuth (deg);151.2
#inclination angle (deg);45.2
#effective area (cm2);27
#exposure time (sec);4.12E+06
slope x;slope y
-0.361726;0.3977372
-0.632062;0.1927662
-0.50621;-0.481643
-0.137631;0.0431666
0.797828;0.495556
-0.381113;0.2673291
-0.132041;-0.175604
-0.3249;-0.558224
-0.243426;0.6314143
0.1253615;-0.286582
-0.37262;-0.610933
-0.176194;-0.029225
0.0089101;-0.319119
0.0487363;-0.460417
0.6697614;-0.131513
0.2478458;0.344127
0.5721955;-0.006476
0.7279447;-0.234591
-0.011576;-0.252774
-0.508647;-0.03052
-0.163113;-0.80474
0.0949206;-1.003271
0.2154066;-0.511298
0.1077523;0.2107883
-0.140395;0.1812191
-0.413519;0.0130514
-0.240534;-0.019595
0.6063702;0.1673593
-0.49551;-0.716363
-0.667351;0.0065521
0.3318513;-0.590587
0.1151031;0.2536199
0.4126705;-0.149136
-0.19563;-0.177583
0.1621771;-0.107368
0.7226251;0.0658827
0.4519822;0.5395928
-0.448703;-0.163233
0.6420334;0.5678171
0.216498;0.2763591
0.1520626;-0.297818
-0.752887;-0.303104
-0.913474;0.0948276
-0.827744;-0.221676
0.3979534;-0.320772
-0.813983;0.7272257
-0.025539;0.1452026
0.3264169;0.0272768
0.0028883;0.2800926
0.2165864;-1.207664
-0.170886;-0.652275
-0.286617;0.4258311
-0.506015;0.2221371
0.0215126;-0.581926
0.2253908;-0.166232
-1.255475;0.1200208
-0.584168;0.9521715
0.3993215;0.5231869
0.2816564;0.0143594
0.9732246;-0.603496
-0.094092;-0.243372
-0.02802;0.3379505
-0.575291;0.5994701
0.2814045;0.0577265
0.0431571;0.2149285
0.2450227;-0.404611
-0.245985;-0.199522
0.2314091;0.2841926
-0.082098;0.2313084
0.1733184;-0.3407
0.5662843;0.1418611
0.1430859;0.7891142
-0.502477;-1.128145
-0.587671;-0.028283
0.1662082;0.0055289
-0.334505;0.1180548
-0.154763;-0.950747
-0.299502;-0.506733
-0.010382;0.0441065
-0.195075;0.1175377
-0.252741;-0.280959
0.0391159;-0.285922
-0.240138;-0.312205
0.2279588;-0.061139
0.2365534;0.1840856
-0.520413;-0.146988
0.2290715;0.3715344
-0.569163;0.2115676
-0.095393;0.0207631
0.0798714;0.4999935
-0.674231;-0.454462
0.0200547;-0.581653
0.3131224;-0.388915
0.0187503;-0.310126
-0.206698;-0.483213
-0.10593;0.3191461
0.0014216;0.5302672
0.409281;-0.598546
-0.199781;0.1591291
-0.073577;0.1417471
-0.622615;-0.056564
0.1468985;-0.596943
-0.533641;0.5658691
-0.129563;-1.246854
0.1460871;0.6663165
-0.563098;0.130918
-0.044368;-0.477181
0.0817143;0.219473
