#E (m, CH1903);641975.26
#N (m, CH1903);155325.59
#Z (m, CH1903);3413.84
#azimuth (deg);90.7
#inclination angle (deg);44.6
#effective area (cm2);25.6
#exposure time (sec);4.12E+06
slope x;slope y
0.8450278;-0.213815
0.318217;-0.300886
-0.182917;-0.603447
0.5868;0.2725093
0.9854385;-0.179232
0.205358;-0.504952
0.4746395;0.1414587
0.2118471;-0.60886
0.4717069;-0.181891
0.3710373;0.227589
-0.008516;-0.277665
0.7604571;-0.324336
-0.041444;0.1972108
0.2510405;-0.404682
0.3012282;0.1625206
-0.480468;-0.238578
0.1614797;-0.133234
0.4848226;0.0360078
0.0198873;0.1896725
0.1096814;0.0254975
1.3660327;0.3529118
0.8805662;0.2436854
0.0392107;-0.035896
0.3026266;-0.450466
0.4246384;0.0343554
-0.221234;0.0077929
1.0354135;-0.59748
1.3044424;0.3239275
-0.48586;-0.069562
-0.124068;-0.264533
0.4052224;-0.093675
0.3859791;0.1818866
0.8740292;0.2734752
1.4522165;-0.171855
-0.008582;-0.552995
-0.310065;0.3367418
0.0640228;0.2945899
-0.07399;0.1181338
-0.26987;-0.133451
-0.108463;-0.329558
0.3060684;0.1159202
0.4687618;-0.436488
-0.150172;0.2522679
1.1788096;-0.053103
0.4185295;0.202683
0.4703175;-0.50642
-0.227191;-0.241729
-0.392153;0.0007815
0.7649779;0.1321057
-0.169363;-0.046196
0.3434516;0.0643985
0.8083834;-0.282707
-0.22432;-0.612842
0.4727568;0.3560219
0.5470127;0.1749884
-0.068798;0.4051634
-0.403526;0.4378133
-0.673633;0.4485251
-0.06167;-0.415814
0.1713095;-0.24634
0.0412126;0.1120487
0.2759273;0.0843008
-0.296975;0.3272341
0.1682166;-0.2698
0.4808176;-0.156395
0.1312606;-0.470124
0.6975392;0.322751
0.5632977;0.0106597
0.7957836;0.364841
0.2378217;0.032777
-0.016184;-0.221337
0.2645631;0.1153344
0.2380253;0.3510399
0.9997151;-0.135565
0.7497666;0.5024673
0.1828281;0.2367194
0.5515832;0.465425
-0.024032;0.4684074
0.304937;-0.545422
0.8944846;0.5561585
-0.176874;0.1268506
-0.021929;-0.10726
-0.090729;-0.013472
0.2369869;0.0572754
-0.198362;-0.19093
0.4684596;0.1630423
0.0359218;-0.10068
-0.300896;0.1301902
-0.423021;-0.278724
0.5004692;0.1810766
0.6580252;0.0265074
0.1156602;0.4896736
0.4144082;0.1364739
0.5874391;-0.569616
-0.080528;-0.221227
-0.044775;-0.088415
0.7041305;-0.015031
-0.132363;0.409286
0.3888887;-0.267774
-0.253234;0.2568169
0.1599852;-0.167922
0.6555118;0.6218928
-0.887507;-0.16139
0.3373561;-0.470214
